,2005-01-20 18:30:00+00:00
agency_cd,USGS
site_no,391605104475001
sample_dt,2005-01-20
sample_tm,11:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,85829YD99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,
p00003,186
p00010,10.3
p00025,601
p00028,80020
p00090,40.9
p00095,153
p00191,0.00023
p00300,7.9
p00301,89
p00400,6.7
p00403,E 7.4 
p00405,23
p00453,64
p00607,< 0.05 
p00608,< 0.04 
p00613,< 0.008 
p00618,4.18
p00631,4.18
p00660,0.414
p00671,0.135
p00681,0.83
p00900,68.0
p00904,15
p00915,23.3
p00925,2.31
p00930,7.96
p00931,0.42
p00932,20
p00935,1.17
p00940,4.3
p00945,10.8
p00950,0.35
p00955,37.5
p01000,3.0
p01005,64.2
p01010,0.088
p01020,19
p01025,< 0.040 
p01030,< 0.8 
p01035,0.06
p01040,2.1
p01046,E 3.1 n
p01049,0.177
p01056,< 0.20 
p01057,< 0.040 
p01060,E 0.386 n
p01065,0.3
p01075,< 0.200 
p01080,193
p01085,1.5
p01090,16.0
p01095,< 0.200 
p01106,< 1.6 
p01130,12.8
p01145,2.0
p04022,< 0.010 
p04025,< 0.013 
p04035,< 0.005 
p04036,< 0.005 
p04037,< 0.010 
p04040,< 0.006 mc
p04095,< 0.0030 
p07000,12.2
p22703,0.306
p30210,9.27
p30217,< 0.050 b
p32101,< 0.028 b
p32102,< 0.06 b
p32103,< 0.13 
p32104,< 0.10 
p32105,< 0.10 
p32106,< 0.02 b
p34010,< 0.02 b
p34030,< 0.021 b
p34215,< 0.80 
p34301,< 0.028 b
p34311,< 0.12 
p34371,< 0.030 b
p34396,< 0.14 
p34413,< 0.3 mc
p34418,< 0.2 mc
p34423,< 0.06 b
p34475,< 0.030 b
p34488,< 0.08 b
p34496,< 0.035 b
p34501,< 0.024 b
p34506,< 0.032 b
p34511,< 0.040 b
p34516,< 0.08 b
p34536,< 0.048 b
p34541,< 0.0290 b
p34546,< 0.032 b
p34551,< 0.12 
p34566,< 0.030 b
p34571,< 0.034 b
p34668,< 0.18 mc
p34696,< 0.52 
p34699,< 0.09 b
p34704,< 0.05 b
p38454,< 0.08 mc
p38775,< 0.01 mc
p38933,< 0.0050 
p39086,52
p39175,< 0.08 b
p39180,< 0.038 b
p39381,< 0.009 
p39415,< 0.006 
p39532,< 0.027 
p39572,< 0.0050 
p39632,< 0.007 
p39702,< 0.14 
p46342,< 0.005 
p49260,< 0.006 
p49295,< 0.0882 mc
p49933,82.22
p49934,0.34
p49991,< 1.0 
p49999,< 0.14 
p50000,< 0.140 
p50002,< 0.10 
p50004,< 0.030 b
p50005,< 0.04 b
p50280,2001
p61585,< 0.008 mc
p61586,< 0.009 mc
p61591,< 0.029 
p61593,< 0.387 mc
p61594,< 0.003 
p61596,< 0.005 
p61598,< 0.006 
p61599,< 0.008 
p61601,< 0.008 mc
p61618,< 0.005 
p61620,< 0.005 mc
p61625,< 0.0045 
p61633,< 0.0057 mc
p61635,< 0.070 mc
p61636,< 0.06 mc
p61638,< 0.01 
p61644,< 0.002 mc
p61645,< 0.049 
p61646,< 0.04 mc
p61652,< 0.030 
p61664,< 0.030 mc
p61666,< 0.105 mc
p61668,< 0.0511 mc
p61674,< 0.068 
p62166,< 0.016 
p62167,< 0.013 
p62168,< 0.024 
p62169,< 0.029 
p62170,< 0.012 
p62854,4.24
p63676,2.1
p70300,133
p70301,E 138 
p70303,0.18
p71846,< 0.052 
p71851,18.5
p71856,< 0.026 
p71870,0.07
p71875,U  
p71999,15.0
p72004,45
p72019,30.42
p73547,< 0.7 b
p73570,< 0.18 
p75985,1.6
p76002,40
p77041,< 0.038 b
p77093,< 0.024 b
p77103,< 0.4 b
p77128,< 0.042 b
p77135,< 0.038 b
p77168,< 0.026 b
p77170,< 0.05 b
p77173,< 0.06 b
p77220,< 0.060 b
p77221,< 0.060 b
p77222,< 0.056 b
p77223,< 0.038 b
p77224,< 0.042 b
p77226,< 0.044 b
p77275,< 0.040 b
p77277,< 0.050 b
p77297,< 0.12 
p77342,< 0.12 
p77350,< 0.060 b
p77353,< 0.060 b
p77356,< 0.08 b
p77424,< 0.50 mc
p77443,< 0.180 
p77562,< 0.030 b
p77613,< 0.18 
p77651,< 0.036 b
p77652,< 0.038 b
p78032,< 0.10 
p78109,< 0.50 mc
p78133,< 0.37 b
p81552,< 6.0 
p81555,< 0.028 b
p81576,< 0.1 b
p81577,< 0.10 
p81593,< 0.40 
p81595,< 2.0 
p81597,< 0.20 
p81607,1.0
p82081,-12.88
p82082,-114
p82085,-15.18
p82303,2020
p82346,< 0.004 
p82398,4045
p82625,< 0.510 
p82630,< 0.006 
p82660,< 0.0060 
p82661,< 0.009 
p82662,< 0.0061 mc
p82664,< 0.011 
p82667,< 0.015 
p82670,< 0.016 
p82673,< 0.010 
p82675,< 0.017 
p82676,< 0.0040 
p82680,< 0.041 mc
p82682,< 0.0030 
p82683,< 0.022 
p82686,< 0.050 mc
p82687,< 0.006 
p84164,4041
p85795,< 0.06 b
p90095,174
p90867,< 0.3 
p99111,1
p99832,98.9
p99833,104
p99834,118
p99871,1
p99972,947
p99994,102
p99995,107
